global_rank,continent_rank,score,antidiscrimination_legislation,marriage_civil_partners,adoption_allowed,transgender_rights,intersex_3rd_option,equal_age_of_consent,conversion_therapy,lgbt_marketing,religious_influence,hiv_travel_restrictions,anti_gay_laws,homossexuality_illegal,pride_banned,locals_hostile,prosecution,murders,death_sentences,continent_id,region_id
25,12,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c0,c0r26
25,12,-11,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c0,c0r40
25,12,-11,0,-1,0,-1,0,0,-1,0,-2,-1,-1,-1,0,-2,-1,0,0,c0,c0r45
26,13,-12,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,-1,0,c0,c0r16
26,13,-12,0,-1,-1,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,0,c0,c0r18
26,13,-12,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,0,-1,c0,c0r31
26,13,-12,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-2,-2,-1,0,c0,c0r33
26,13,-12,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-2,0,0,c0,c0r46
26,13,-12,0,-1,0,0,-1,0,-1,0,-2,0,-1,-1,-1,-2,-1,-1,0,c0,c0r49
26,13,-12,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-2,-1,-2,0,c0,c0r51
27,14,-13,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,-2,0,c0,c0r7
27,14,-13,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,-2,0,c0,c0r29
28,15,-14,0,-1,-1,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-2,-1,0,c0,c0r14
28,15,-14,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,-2,-1,c0,c0r27
28,15,-14,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-2,-2,0,-3,c0,c0r37
30,16,-18,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-1,-2,-5,c0,c0r43
